"","id","title","description","manufacturer","price","dfB.match[, names.dfB]","gamma.1","gamma.2","posterior"
"764","b000edvrtq","station access collection","if you really want to jump online for a massive gaming experience the station access collection is your complete ticket. this collection gives you five award-winning massively multiplayer online games with 30 days free game time for each included for new accounts. the station access collection includes planetside: aftershock star wars: galaxies the matrix online everquest: evolution and everquest ii. all excellent and engaging games by themselves this collection represents all the online gaming you are going to need for a long time. planetside: aftershock throws you into a futuristic all-out-war on the continents of auraxis. view larger. planetside: aftershock planetside: aftershock is itself a compilation that includes planetside with the core combat expansion pack and the new battleframe robotics action pack included. this game throws you into a futuristic all-out-war on the planetary continents of auraxis where you must engage your enemies in large-scale battles or tactical base assaults. players must decide upon their allegiance and enlist in the army of their choice amongst three unique empires fighting for total domination. as battles are fought and experience gained characters can choose to advance in more than 30 different combat specialties including infantry sniper stealth commando engineer hacker medic pilot driver and more. and with the new battleframe robotics pack players are put in control of giant mechanized robots each with multiple weapons systems at their command. star wars: galaxies is a role-playing game based on the popular movie series. view larger. star wars: galaxies star wars: galaxies lets you create a character by choosing from male or female versions of eight different star wars races including humans and wookiees as well as the fish-faced mon calamari the bug-eyed rodians and more. the most important part of the character creation process is choosing your starting profession whether is be as the artisan brawler entertainer marksman or scout. then you must grow your character by gaining experience points not simply by generically killing monsters or completing typical missions you'll find in other role-playing games but rather by repeatedly using the specific skills that are most important to your character. the basic starting professions actually branch off into more than 20 different advanced professions which become available as you master the skill paths of your starting profession. it's easy to enter into combat in star wars: galaxies as characters need only venture a short distance from any of the various starting locations before they will run into myriads of creatures that can be killed for experience points. star wars: galaxies' fighting characters have access to different special abilities that can cause more damage or hinder the abilities of their enemies in some way and these characters will gain new abilities as they improve their skills. thanks to its impressive visuals authentic star wars music and sound effects star wars: galaxies will get you as close to living in the star wars universe as you'll ever be. the matrix online is a turn-based combat game that puts you directly in the middle of matrix itself. view larger. the matrix online the matrix online puts you directly in the middle of matrix itself a place also known as the metro world and the story line picks up after the conclusion of the matrix revolutions. it is a time of uneasy truce between humans and machines with a third group called the exiles -- self-aware programs that have their home in the matrix -- that further complicates matters. you play as a newly awakened redpill a human freed from servitude and made recently conscious of the nature of the matrix and the state of the real world. being human you start out in the service of zion who'll help train you to survive and even thrive in the matrix. but for you rabble rousers you'll soon have the option of choosing to align yourself with any of the three organizations vying for domination of the matrix. one of the more compelling features of the matrix online is how it doesn't force you to lock yourself into a particular character profession; instead the game allows you to customize your character's proficiencies and make dramatic changes to your skill set on the fly. also each character's set of statistics such as perception and belief predispose them toward one style of play or another. gameplay is primarily turn-based combat that occurs during randomly generated missions in search of targets or objects. you earn currency experience points and loot (such as weapons and other items) from accomplishing missions and defeating opponents. many missions have multiple stages and while it's possible to finish them on your own it's much more efficient to plow through them with a group of other players. the matrix online allows players to form groups of up to a dozen called crews that are more permanent in nature and multiple crews can come together to form a faction. in addition to fighting foes using hand-to-hand combat guns and viruses characters can create useful items by compiling them. one of the most enticing aspects of the matrix online is the promise of an evolving storyline that develops based on each players' actions ensuring that you will keep coming back not just for the thrill of the game but in order to see how the story turns out. both everquest games -- evolution and everquest ii -- take place in the world of norrath. view larger. everquest: evolution and everquest ii as the game that originally helped create the market for the massive multiplayer online role-playing genre the everquest line of role-playing games require little explanation. both everquest games -- evolution and everquest ii -- take place in the world of norrath but in everquest ii norrath has been stricken by a cataclysmic event that caused civilization to virtually collapse leaving only two main metropolises intact. in both evolution and everquest ii you must choose your character's race profession and alignment before you head out in to the world to gain experience win renown and hopefully become rich and powerful beyond your wildest dreams. everquest: evolution features the original game plus all of the expansion packs released so far including the ruins of kunark the scars of velious the shadows of luclin the planes of power and the legacy of ykesha. everquest ii includes the new world order a ton of original content breathtaking new graphics and several tweaks to gameplay such as a purely player-versus-environment gameplay design that removes the original everquest's option of attacking other players. as one of the most participated in and deeply developed massively-multiplayer online games ever created both everquest: evolution and everquest ii will provide you with virtually endless entertainment and challenges.","sony creative software",29.99,"vegas movie studiodvd+8 plat",2,1,0.863821391991082
"1270","b00002s6sc","punch 5 in 1 home design","5 in 1 home design is a fully integrated 3-d home design product that includes ultimate deck realmodel 3d home landscaping and furniture design software. punch's 3-d photorealistic technology allows users to fly through their entire design while enjoying great views from any angle.use the 3d home exterior & interior design program to view your home in thousands of subtle paint color choices or design walk-out basements and split-level designs with the slope tool. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. also create objects from scratch or modify furniture from the included library. change colors fabrics patterns textures and more then use your creations to furnish your home plan.","punch! software",39.99,"punch software 20100 punch! 5 in 1 home design",2,1,0.863821391991082
"668","b000bh3dbk","toysight gold for isight: includes 15 games (mac)","toysight gold uses your isight camera or any firewire-equipped digital camcorder to put you in the game. instead of controlling game object through a keyboard game pad or mouse you'll control a series of games by waving your hands in the air. it features 12 great games that will make you smile laugh and cheer: the owl and the pussycat toy wars pie sight tennis xtreme flysight mars lander airheads","freeverse software",29.99,"freeverse software 5003 bumpercar 2.0 mac web browser",2,1,0.863821391991082
"1275","b00009k780","wingnuts 2 (mac)","","freeverse software",29.99,"freeverse software 5003 bumpercar 2.0 mac web browser",2,1,0.863821391991082
"1276","b00006jo4g","punch! super home suite","super home suite is a full set of powerful home modelling tools that will let you build a complete 3d scale model of your home! home estimator compiles cost information for building materials and landscape plantings and gives ou a full report on the expenses work with autoframing to create 3d views of your home's frame -- see complex stairs roof trusses headers and more create a complete 3d model of the whole house indoors and out furnishings and all with 3d realmodel","punch! software",49.99,"punch software 25100 punch! master landscape and home design",2,1,0.863821391991082
"1022","b0009suw5q","resumemaker professional 12.0","resume maker pro deluxe 12 makes it easy to write a better resume and get a better job with this digital career opportunity. it's designed for both novices and professionals to create the perfect cover letter bio and resume text. it can even add audio and video to your digital copy for a more advanced and eye-catching final product. make sure you get noticed with this amazing new resume tool!","individual software",29.99,"individual software prm-r12 resumemaker professional 12.0",2,2,0.93702585194575
"939","b0009dxjuq","typing instructor deluxe (jewel case)","improve your typing skills today! typing instructor deluxe has a progressive design that has been developed for over 19 years. typing instructor deluxe can provide the right lessons tests strengthening exercises practice material and typing games for your skill level. you can even build your own personal typing plan to focus on specific areas you would like to improve. if you think learning has to be all hard work and no fun think again! for beginning to advanced typists kids to adults typing instructor deluxe will motivate you to improve your typing speed and accuracy using a travel theme and exciting typing challenges.educates entertains and motivates: choose from many typing plans or build your ownnavigate easily and choose your typing materialnew! dynamic learning methodsave your results and reports to track progresslearn voice-touch typing (dictation)3 unique travel themescolorful photos and musicten exciting games300+ magazine articles","individual software",9.99,"individual software jce-th6 total 3d home deluxe j/c",2,2,0.93702585194575
"365","b000hlr9my","adobe premiere elements 3.0 [lb]","premiere elements brings your home videos to life and helps you create and share them quickly and easily with friends and family. burn your footage to dvd in two simple steps or try the new sceneline to rearrange clips and add effects and enhancements with drag-and-drop simplicity. you can now download clips from some nokia mobile phones. and with support for major device formats you can share your movies on the web and virtually anywhere else. wow your audience with hundreds of eye-catching effects and transitions that are easy to apply with drag-and-drop simplicity. move footage from camera to dvd in two simple steps or drop it into the sceneline where you can easily rearrange clips and add effects with drag-and-drop simplicity. for more control use the timeline view which offers more editing options. view larger. edit and preview your movie in one convenient place& 151;the monitor window& 151;where you can split and trim clips add effects and more. view larger. easily create home videos and dvds premiere elements makes it easy to import video audio and still images from virtually any media device including dv and dvd camcorders hdv devices web digital still and mobile phone cameras unprotected dvds mpeg-4 video recorders windows media center and video clips from selected mobile phones. there is also native hdv support so you can achieve richer results by capturing and editing hdv footage in its native format. premiere elements gives you control of your video footage whether you want to burn it right to a dvd or spend time editing and adding creative elements. if you want to simply create dvds you can go from camcorder to disc in just a few clicks. or take advantage of the powerful video-editing tools that allow you to transform and personalize your video creation. for quick editing the sceneline view lets you assemble your video by drag and drop rearranging thumbnails of your clips and adding transitions and effects. for more precise control the timeline view offers premier elements' most advanced features. do all your editing in one convenient place: easily trim and split clips drag and drop effects and transitions add text and narration and more right in the monitor window. you can even create your own time-lapse movies claymations and other still-frame animations with the stop-motion video capture features. rock-solid performance and quality are included in all of adobe's premier software. for example you can view edits in real time as you make them by previewing your movie full-screen with just the click of a button. you can also feel free to experiment: with auto save multiple undos and the history panel you can always go back to a previous version. the soundtrack for your video can be rich and full with the quality of dolby digital stereo. and since video editing can take up a lot of processor speed and memory premier is optimized to support multiple processors and advanced multi-threading and hyper-threading technology on the latest pentium and centrino duo-based windows xp systems. wow your audience with amazing effects even if you're new to video editing you can raise the production value of your video by adding special effects. with narration features your video will tell the story in your own voice; simply add narration to your video as you edit. for adding titles or other text to your video adobe provides world-class fonts that are designed to look great on video. and adding text is easy since you can now type text right on screen then add a cool shadow glow or other effect to make it unique. if you want to make your video more dynamic you can add moving text and graphics. adding tv-style effects is simple& 151;just drag and drop one of the hundreds of amazing special effects you can customize and reuse. also choose from hundreds of eye-catching transitions to creatively move from one scene to the next. to apply a transition just drag and drop to apply effects such as dissolves fades and wipes. or you can create your own transition style. music can be an important part of your video so premier elements lets you add your music files and then edit your video to match the beat. for crediting your cast and crew choose from more than 100 professionally-designed templates. share your videos anywhere since videos are made to be seen premier elements includes powerful tools for outputting your movie. while creating a professional-quality dvd you can design unique dvd menus using your own video photos audio and text. or save time with automatic scene indexes or chapters that link to your video clips. create and watch your video in traditional tv (4:3.0) or widescreen (16:9) format in ntsc or pal standard for a worldwide audience. give your audience high-quality sound by automatically converting audio to industry-standard dolby digital stereo allowing you to burn more video onto a single disc without sacrificing sound quality. before you burn make sure your movie is just as you envisioned it by watching a full-screen preview on your computer or tv. then burn your finished movie to a single- or dual-layer dvd. for sharing on portable devices export a movie in the mpeg-4 format. mpeg-4 files can then be viewed on virtually any portable device& 151;including the video ipod and sony playstation portable. supported formats premiere elements 3.0 import/export formats supported include: 3gp asf (import only) avi dolby digital stereo dv dvd h.264 jpeg jvc everio mod (import only) mpeg-1 mpeg-2 mpeg-4 png (import only) psd (import only) quicktime wav windows media wma (import only)","adobe",99.99,"adobe 42050106 acrobat distiller svr v6-cd sun 100u",2,1,0.863821391991082
"528","b000hlt4y0","adobe premiere elements 3.0","premiere elements brings your home videos to life and helps you create and share them quickly and easily with friends and family. burn your footage to dvd in two simple steps or try the new sceneline to rearrange clips and add effects and enhancements with drag-and-drop simplicity. you can now download clips from some nokia mobile phones. and with support for major device formats you can share your movies on the web and virtually anywhere else. wow your audience with hundreds of eye-catching effects and transitions that are easy to apply with drag-and-drop simplicity. move footage from camera to dvd in two simple steps or drop it into the sceneline where you can easily rearrange clips and add effects with drag-and-drop simplicity. for more control use the timeline view which offers more editing options. view larger. edit and preview your movie in one convenient place& 151;the monitor window& 151;where you can split and trim clips add effects and more. view larger. easily create home videos and dvds premiere elements makes it easy to import video audio and still images from virtually any media device including dv and dvd camcorders hdv devices web digital still and mobile phone cameras unprotected dvds mpeg-4 video recorders windows media center and video clips from selected mobile phones. there is also native hdv support so you can achieve richer results by capturing and editing hdv footage in its native format. premiere elements gives you control of your video footage whether you want to burn it right to a dvd or spend time editing and adding creative elements. if you want to simply create dvds you can go from camcorder to disc in just a few clicks. or take advantage of the powerful video-editing tools that allow you to transform and personalize your video creation. for quick editing the sceneline view lets you assemble your video by drag and drop rearranging thumbnails of your clips and adding transitions and effects. for more precise control the timeline view offers premier elements' most advanced features. do all your editing in one convenient place: easily trim and split clips drag and drop effects and transitions add text and narration and more right in the monitor window. you can even create your own time-lapse movies claymations and other still-frame animations with the stop-motion video capture features. rock-solid performance and quality are included in all of adobe's premier software. for example you can view edits in real time as you make them by previewing your movie full-screen with just the click of a button. you can also feel free to experiment: with auto save multiple undos and the history panel you can always go back to a previous version. the soundtrack for your video can be rich and full with the quality of dolby digital stereo. and since video editing can take up a lot of processor speed and memory premier is optimized to support multiple processors and advanced multi-threading and hyper-threading technology on the latest pentium and centrino duo-based windows xp systems. wow your audience with amazing effects even if you're new to video editing you can raise the production value of your video by adding special effects. with narration features your video will tell the story in your own voice; simply add narration to your video as you edit. for adding titles or other text to your video adobe provides world-class fonts that are designed to look great on video. and adding text is easy since you can now type text right on screen then add a cool shadow glow or other effect to make it unique. if you want to make your video more dynamic you can add moving text and graphics. adding tv-style effects is simple& 151;just drag and drop one of the hundreds of amazing special effects you can customize and reuse. also choose from hundreds of eye-catching transitions to creatively move from one scene to the next. to apply a transition just drag and drop to apply effects such as dissolves fades and wipes. or you can create your own transition style. music can be an important part of your video so premier elements lets you add your music files and then edit your video to match the beat. for crediting your cast and crew choose from more than 100 professionally-designed templates. share your videos anywhere since videos are made to be seen premier elements includes powerful tools for outputting your movie. while creating a professional-quality dvd you can design unique dvd menus using your own video photos audio and text. or save time with automatic scene indexes or chapters that link to your video clips. create and watch your video in traditional tv (4:3.0) or widescreen (16:9) format in ntsc or pal standard for a worldwide audience. give your audience high-quality sound by automatically converting audio to industry-standard dolby digital stereo allowing you to burn more video onto a single disc without sacrificing sound quality. before you burn make sure your movie is just as you envisioned it by watching a full-screen preview on your computer or tv. then burn your finished movie to a single- or dual-layer dvd. for sharing on portable devices export a movie in the mpeg-4 format. mpeg-4 files can then be viewed on virtually any portable device& 151;including the video ipod and sony playstation portable. supported formats premiere elements 3.0 import/export formats supported include: 3gp asf (import only) avi dolby digital stereo dv dvd h.264 jpeg jvc everio mod (import only) mpeg-1 mpeg-2 mpeg-4 png (import only) psd (import only) quicktime wav windows media wma (import only)","adobe",99.99,"adobe 42050106 acrobat distiller svr v6-cd sun 100u",2,1,0.863821391991082
"348","b000exs488","jumpstart advanced 1st grade v2.0","jump start advanced 1st grade ensures the mastery of fundamentals in reading math and more. prepare your child for 1st grade and beyond with this 4-cd set!disc one: fundamentals - build essential 1st grade skills. learn skills in math reading spelling and more. includes an introduction to 2nd grade concepts.disc two: music - explore a fascinating musical world. learn about melodies rhythm instruments and harmony with fun toe-tapping songs! disc three: art club - create masterpieces using your imagination. bring out your creativity with hours of fun activities. create cards and banners. disc four: pet playground - adopt your own virtual pet. teach it tricks buy accessories and play pet games. take care of your loveable. (note: pet playground cd is windows only)over 50 skills taught! readingphonicsconsonants soundsshort & long vowelsblends digraphsvocabularysyllablesreading comprehensionwriting:sentence buildingspellingpunctuationparts of speechalphabetizingsciencelife scienceearth sciencenutritionmathaddition subtractioncounting coinsfractionsskip countingsequencingsocial studies:communitiesworld regionsart:colorsshapes and patternscreativitymusic:melodyrhythminstrument familiesthinking skills:problem solvingsorting by multiple attributespatternswindows system requirements:windows 98/me/2000/xppentium ii 266 mhz (pentium ii 300 mhz or faster for xp)64 mb ram (128 mb ram for xp)12x cd-rom drive16-bit colorwindows-compatible sound card pet playground cd (windows only) windows 2000/xppentium iii 1ghz256 mb ram32 mb directx 9.0c-compatible3d video card24x cd-rom drive450 mb free hd spacedirectx compatible sound card mac system requirements:powermac g3 266 mhz or fasteros 9.2.1 10.1.5 10.2.3 10.3.1 (music and art club discs os 9.2.1 and osx classic mode only)64 mb of ram (128 mb ram for 10.1.5 10.2.3 10.3.1)16x cd-rom drive16-bit color pet playground cd (windows only)","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"369","b000exq2cs","jumpstart advanced 3rd grade v2.0","jumpstart advanced 3rd grade has more fun and enriching learning activities to prepare children for 3rd grade. these premium features and extensive content is designed to teach children at a pace that's just right for them. the fun games and exercises keep kids engaged and learning for hours. the software adapts to individual children's learning styles helping them learn more about everything from spelling and arithmetic. subjects include: thinking skills - problem solving & critical thinking","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"395","b000exw510","jumpstart advanced 2nd grade v2.0","the jumpstart advanced 2nd grade helps children build and practice essential skills and get a head start on 3rd grade. with adjustable pacing and the ability to select activities that correspond to their learning style preferences students can create a personalized learning experience. subjects include: art - art styles art vocabulary music - music styles & music notation thinking skills - logical thinking & problem solving","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"481","b000i84dts","jumpstart world 1st grade","welcome to jumpstart world 1st grade a series of 12 adventure packs or learning units that actually progresses in response to your child's own learning pace. it's super-personalized wildly imaginative and really fun but don't let that fool you--it also teaches critical skills correlated to state standards so kids get a real jumpstart in life. the world changes with the seasons and holidays over 80 learning games and missions unique 3d design and immersive play the smart fun way to achieve 1st grade success your child will make new friends visit the learning arcades art and music studio and complete fun missions to earn their first two leadership keys. stay connected as part of your jumpstart world experience we've designed a parents corner where you can get additional tips and ideas to help your child enjoy learning even more. get educational tips and creative ideas from our monthly gurus and experts. search hundreds of parent tips to help turn everyday moments into learning opportunitites. get instant access to tips and activities that reinforce your child's learning. reward your child studies show that children learn better when parents are involved. the super gem reward store allows you to reward your child's performance with customized certificates. delight your child with rewards that only you can create. create rewards that your child can redeem: a trip to the park going out for ice cream going ice skating and many more. use our simple tool to create your own rewards to honor your child's learning achievements. get your first 2 adventure packs today: over 80 learning games and missions that teach more than 40 skills subscribe to keep the adventure going: get a new adventure pack automatically downloaded to your computer for just $7.99 each. based on your child's progress--at least one each month. 12 total adventure packs per grade. each adventure pack includes: for kids: over 40 learning games and missions over 20 skills new areas of the world to discover one new badge to earn for parents: progress report e-mails and parent tips access to the member's website and online access to educational experts access to the super gems reward center see what your child can learn in jumpstart world at the heart of the jumpstart world is the learning curriculum containing hundreds of lessons around key skills to help your child advance progressively. take a tour of the specially designed 3d world new studies show that children who learn in rich media environments retain knowledge longer. jumpstart world surrounds your child in a 3d world with learning and fun as it rewards and recognizes each achievement along the way. key features of jumpstart world: children pick a character and explore a world full of exciting places. unique 3d design and immersive play make kids feel like they're inside a world of adventure and learning. challenging missions teach math reading spelling vocabulary science art and more. kids can import photos to decorate their world. they can create billboards cards and special pictures. new lands and new challenges open up according to your child's progress. includes sing-along music videos in the art and music studio that teach phonics the karaoke way. kids earn super gems at the math and reading arcades. they can then trade in their gems for special rewards. kids earn keys on their way to becoming the ultimate jumpscout leader. the world changes with the seasons and holidays using a real-time calendar. parents receive personalized progress reports and activity tips. ages 5-7 years skills taught math: addition subtraction telling time fractions picture graphs reading: phonics consonants vowels sentences comprehension critical thinking: problem solving patterns attributes classification social skills: friendship knowledge dedication and much more! benefits empowers children to succeed builds confidence rewards achievements enhances social skills stimulates creativity engages parents research: the building blocks of jumpstart world research has shown that children's play can encourage and improve their ability to learn. jumpstart world keeps children motivated to play and to learn because jumpstart world recognizes each achievement along the way. the result is non-stop play and learning that will involve the entire family. children and technology white paper (.pdf - 84k) jumpstart world white paper (.pdf - 124k)","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"602","b00001xdw7","jumpstart kindergarten","jumpstart kindergarten is designed to stimulate excite and inform children entering school for the first time. mr. hopsalot a cartoon bunny helps students ages 4 to 6 learn how to tell time identify upper- and lowercase letters sort objects understand prepositions and more. as with all jumpstart programs jumpstart kindergarten adapts content and presentation to a child's level of achievement and provides plenty of feedback and encouragement.","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"1295","b000v7vz2e","jumpstart 4th-6th grade v 2.0 b43","","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"1327","b000i84dum","jumpstart world 2nd grade","welcome to jumpstart world 2nd grade a series of 12 adventure packs or learning units that actually progresses in response to your child's own learning pace. it's super-personalized wildly imaginative and really fun but don't let that fool you--it also teaches critical skills correlated to state standards so kids get a real jumpstart in life. new areas of the world to discover over 90 learning games and missions kids can import photos to decorate their world the smart fun way to achieve 2nd grade success calling all heroes...jumpstart world needs your child! a mysterious villain called color meister has removed the color from camp jumpstart! to bring the color back your child earns the shield of training and shield of challenge by playing learning games and completing the color meister's challenges. your child will make new friends and visit new places all on the way to becoming a true hero. stay connected as part of your jumpstart world experience we've designed a parents corner where you can get additional tips and ideas to help your child enjoy learning even more. get educational tips and creative ideas from our monthly gurus and experts. search hundreds of parent tips to help turn everyday moments into learning opportunitites. get instant access to tips and activities that reinforce your child's learning. reward your child studies show that children learn better when parents are involved. the super gem reward store allows you to reward your child's performance with customized certificates. delight your child with rewards that only you can create. create rewards that your child can redeem: a trip to the park going out for ice cream going ice skating and many more. use our simple tool to create your own rewards to honor your child's learning achievements. get your first 2 adventure packs today: over 90 learning games and missions that teach more than 50 skills subscribe to keep the adventure going: get a new adventure pack automatically downloaded to your computer for just $7.99 each. based on your child's progress--at least one each month. 12 total adventure packs per grade. each adventure pack includes: for kids: over 45 learning games and missions over 25 skills new areas of the world to discover one new badge to earn for parents: progress report e-mails and parent tips access to the member's website and online access to educational experts access to the super gems reward center see what your child can learn in jumpstart world at the heart of the jumpstart world is the learning curriculum containing hundreds of lessons around key skills to help your child advance progressively. take a tour of the specially designed 3d world new studies show that children who learn in rich media environments retain knowledge longer. jumpstart world surrounds your child in a 3d world with learning and fun as it rewards and recognizes each achievement along the way. key features of jumpstart world: children pick a character and explore a world full of exciting places. unique 3d design and immersive play make kids feel like they're inside a world of adventure and learning. challenging missions teach math reading spelling vocabulary science art and more. kids can import photos to decorate their world. they can create billboards cards and special pictures. new lands and new challenges open up according to your child's progress. kids visit the science lab where they can watch cool movies from jpl (nasa). play fun games with jumpstart characters like treasure hunting with pierre. complete color meister's puzzles and challenges to bring the color back to jumpstart world. kids earn super gems at the math and reading arcades. they can then trade in their gems for special rewards. kids earn shields on their way to becoming a true hero. the world changes with the seasons and holidays using a real-time calendar. parents receive personalized progress reports and activity tips. ages 6-8 years skills taught math: addition subtraction money fractions tally charts time reading: parts of speech comprehension antonyms word building critical thinking: problem solving patterns attributes classification social skills: preparations perseverance cooperation and much more! benefits empowers children to succeed builds confidence rewards achievements enhances social skills stimulates creativity engages parents research: the building blocks of jumpstart world research has shown that children's play can encourage and improve their ability to learn. jumpstart world keeps children motivated to play and to learn because jumpstart world recognizes each achievement along the way. the result is non-stop play and learning that will involve the entire family. children and technology white paper (.pdf - 84k) jumpstart world white paper (.pdf - 124k)","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"1346","b000exu99k","jumpstart advanced preschool v2.0","jumpstart advanced preschool is the complete get ready for school program. now including jumpstart toddlers it delivers more fun and engaging activities than ever in this 4-cd set. students learn: patterns upper case letters lower case letters number recognition spatial awareness counting quantities colors shapes sizes","knowledge adventure",19.99,"knowledge adventure 20033 jumpstart reading with karaoke",2,2,0.93702585194575
"87","b000162zq0","emedia bass method win/mac","emedia bass method os x (win 95 98 me nt 2000 xp/mac 7.1-9.x(classic) x)","emedia",59.99,"emedia eg04025 intermediate guitar method - complete package",2,1,0.863821391991082
