"","id","title","description","manufacturer","price","dfB.match[, names.dfB]","gamma.1","gamma.2","posterior"
"79","b000162zp6","emedia intermediate guitar method os x","learn to play lead guitar and more! everything you need to take your playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video variable-speed midi recorded audio and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired lead guitar skills. you'll also find rhythm and fingerstyle chapters plus lessons on the basics of improvisation. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales. additional accessories include an automatic tuner digital metronome recorder and 1000-chord dictionary with audio playback.","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"623","b0000696oh","emedia intermediate guitar method win/mac","emedia intermediate guitar method is an easy way to take your guitar playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video sound and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired skills such as hammer-ons pull-offs bends vibrato and slides. barre chords and different strumming styles are covered in the rhythm chapters and there's a fingerstyle chapter as well. you can choose to learn using either tablature or standard music notation. intervals scales and the basics of improvisation are also covered in this comprehensive volume. emedia intermediate guitar method includes an animated fretboard that displays the fingering for each song and exercise in real time and is adjustable to four different viewing angles. included are over 50 songs recorded in multitrack audio which makes learning and listening to hit songs exciting. also available is a variable-speed midi track option allowing students to practice any song or exercise at the tempo they choose. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales making practicing and learning new scales easy. additional features include a built-in automatic tuner digital metronome recorder and 1 000-chord dictionary with audio playback. intermediate guitar method features many hit songs by artists such as eric clapton jimi hendrix the steve miller band johnny cash and jim croce.","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"1251","b0000c4m1w","emedia piano and keyboard method volume 1","piano and keyboard method is a powerful and original new approach to building music skills! interactive lessons and multimedia exercises combine for a clear and easy-to-use learning method!","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"1307","b000gamysk","emedia guitarpro 5 win/mac","emedia's guitar pro 5.1 is the most powerful and intuitive tablature editor on the market. this multitrack tablature editor/player for guitar banjo and bass. the advanced notation features add drum notation vocal notation and tablature support for any stringed instruments with four to seven strings! you can create complete scores for a band in minutes. improved ascii import/export and the newly enhanced speed trainer will show you why emedia guitar pro 5.1 is the dominant force in guitar music on the web. use the chord generator as a reference or to easily add chord diagrams to the score create a chord diagram by clicking on the grid -- emedia guitar pro 5 will give you all the corresponding names","emedia",59.99,"emedia eg03014 bass method os x",2,1,0.863821391991082
"1256","b0009eu0ca","sony acid pro 5","acid pro 5 puts total composition and editing power in the hands of the producer. it's the first loop-based music creation application for almost any level of musical expertise. it's got all the features you need to produce truly professional results. includes more than 1 000 loops from the sony sound series - loops & samples collection plus the native instrument xpress keyboards vsti soft synth bundle","sony",399.95,"sony playstation gretzky nhl 2006 psp - 98627",2,1,0.863821391991082
"654","b000piht7e","3d home architect home design deluxe version 9","3d home architect home design deluxe version 9 is the ultimate high quality home design tool that will assist you transforming the idea of your dream home in a reality--all at a value price. taking home design to the next level home design deluxe offers a wide variety of features that utilize the latest design techniques and technologies. take a 3d walk-through of your design design any room to your specifications drag-and-drop textures colors and objects into any room design your dream home with ease & accuracy whether you're designing the home of your dreams decorating a bathroom or just updating your kitchen the new intuitive interface provides you with tools to plan visualize and execute your design ideas. you also have the option of looking through ready-made home plans and rooms. product features create a structural frame for your home use the framing tool. use the roofing tool to decide on roofing styles and materials. view various remodeling options using the wide variety of material templates. browse through the large library of appliances and choose the one that's right for you. additional helpful capabilities choose from a wide variety of viewing options as you design your home. this dvd based design solution is powered by punch! software--the leader in high-end home design software. home designer v.9 is windows/mac compatible. the possibilities are endless with this all-in-one home design solution. interior design & decor design any room in your home to your exact specifications. choose from thousands of furnishings textures and color combinations. your design options are endless! 3d home tour when your home design is complete take a 3d walk-through tour of the inside or a 3d fly-around tour of the outside. doors & windows customize the size of each window and door using the design tools.","encore",29.99,"encore 28008 cold zero",2,1,0.863821391991082
"1014","b0000990y7","marine aquarium 2.0 (pc & mac)","view marine life so vibrant you won't believe your eyes! gorgeous details have gone into creating the high-resolution fish models and reef tank for an indescribably realistic effect. achieve serenity from an exquisite marine habitat without the expense or maintenance of the real thing. so peaceful. so mesmerizing. with 26 exotic species of fish it's like having your very own aquatic paradise through your pc or mac.","encore",29.99,"encore 28008 cold zero",2,1,0.863821391991082
"1186","b000pijt6i","3d home architect landscape design deluxe version 9","3d home architect landscape design deluxe version 9 is the ultimate easy-to-use landscape design solution that incorporates the latest design techniques and technologies to ensure your dream yard becomes a reality. visualize any landscaping project before you get started. use the deck tool to create the perfect deck or patio. control sun angle and shadows for the ultimate in visualization. create your outdoor oasis create a ready-to-build landscape and garden plan that complements your home's terrain. with the landscape design deluxe the process of designing a completely new outdoor oasis or simply adding a deck to your backyard will be an enjoyable experience. a new easy-to-use interface provides you with the tools to plan visualize and execute your design ideas. program features & functions create framed deck plans with the deck tool. use terrain modeling tools to create natural slopes and grades view your plans onscreen in lifelike detail with 3dtrueview boost your gardening expertise on growth zones sun exposure and more with the plant encyclopedia this dvd based solution is powered by punch! software and is compatible with both windows and macintosh operating systems. 3d home architect landscape designer version 9 is packed with powerful design capabilities to bring your landscaping goals within reach. let this powerful tool help you create the perfect landscape! your landscape designs will be true to form with topographical options such as: fencing ground fill edging retaining walls pathways gates plant library use the plant library to explore over 2 300 different kinds of plant options. custom outdoor features design your outdoor space with every luxury in mind. pond pool spa waterfall outdoor grill greenhouse fire pit patio furniture decks & patios use the deck tool to create a deck or patio perfect for your home and outdoor life style. plant growth projection tool experiment and preview different plant options until you achieve your ideal combination. view the growth pattern of your landscape over a period of time.","encore",29.99,"encore 28008 cold zero",2,1,0.863821391991082
"482","b000aa87pu","art explosion t-shirt factory deluxe 3.0","t-shirt explosion: t-shirt factory deluxe lets you design the t-shirts you've always wanted - at home! just draw or import a design into the software and print it up. it's easier than ever to produce homemade fashions on your computer!","nova development",29.99,"nova development ghw humorous greeting card factory",2,2,0.93702585194575
"760","b0000c7gep","humorous greeting card factory","humorous greeting card factory is a versatile new card design tool that helps you bring your loved ones a laugh! an explosion of creative output is just waiting to happen -- all you need to set it off is humorous greeting card factory!","nova development",29.99,"nova development ghw humorous greeting card factory",2,2,0.93702585194575
"1190","b000mfqzoi","pc tutor learn windows vista & office 2007","pc tutor's innovative courseware will give you expert training for windows vista and microsoft office 2007. the lessons and exercises included here will engage and motivate you every step of the way. the result is knowledge you're more likely to retain - and put to practical use. take advantage of proven methods that teach you the facts that matter most - at a pace that's right for you. there's no easier or more enjoyable way to improve your computer skills and learn windows vista and office 2007.","nova development",29.99,"nova development ghw humorous greeting card factory",2,2,0.93702585194575
"1290","b000k757w4","business card factory deluxe 3.0","art explosion business card factory deluxe is the fast and easy way to create one-of-a-kind professional business cards. it's all possible with this exciting newsystem from nova development the worldwide leader in innovative graphics software. business card factory is incredibly simple to use so you don't need to be a computer whiz. and with more than 4000 ready-made layouts for virtually every business under the sun you don't need to be an artist either.choose from professionally crafted designs in hundreds of styles and color combinations- even designs for vertical and folding business cards. then easily customize the text adding your name and contact information to business card factory's built-in profiler.if you prefer you can create your own unique designs using more than 35 000 premium-quality clip art images and 500 professional fonts. business card factory makes it easy with unique text effects and professional design tools for greater artistic control.once your work is complete you can print photo-quality artwork right up to the edge of each card-on regular or glossy card stock. the results with this new process are so superior to other software products your associates will swear your cards were commercially printed!of course art explosion business card factory is also compatible with pre-printed paper stock from avery idea art paper direct and more. so your options are practically unlimited. 4 200+ easy-to-customize designs 41 000+ clip art images 600+ professional fonts create matching letterhead and envelopes create multiple user profiles so you can print cards for everyone in your company import logos photos and other graphics in all popular file formats","nova development",29.99,"nova development ghw humorous greeting card factory",2,2,0.93702585194575
"1363","b000j588g4","photo explosion 3.0","photo explosion 3.0","nova development",29.99,"nova development ghw humorous greeting card factory",2,2,0.93702585194575
"855","b000v7v2uo","bookkeeper 2008","","individual software",39.99,"individual software prm-rce resumemaker career edition",2,1,0.863821391991082
"1258","b000fj16ou","total 3d home & landscape design suite version 9","total 3d home & landscape is designed for the homeowner not an architect or contractor. use it to create the perfect living space. create sample garden & landscape plans -- or save time and money with pre-designed landscape plans. simply drag and drop smart yardblocks to create an entire lawn deck pool and more. view your design in full color and easily identify furniture plants windows fences and more in your design. scan & trace blueprints easily make changes to an existing design. keep your yard looking beautiful with irrigation systems. whether you're designing your dream home remodeling a kitchen or bathroom or creating the ideal outdoor living space you'll have all the tools and inspiration you need. over 14 000 ready-to-build sample home plans on dvd 2 500 designer showrooms provide inspiration and ideas for your home research and select from over 4 600 plants to include in your design real-photo dynamic imaging for superior realism","individual software",39.99,"individual software prm-rce resumemaker career edition",2,1,0.863821391991082
"1277","b000v7y5j4","quickverse bible premier suite","","individual software",39.99,"individual software prm-rce resumemaker career edition",2,1,0.863821391991082
"159","b000j588ge","photo objects 150 000 for macintosh","add a unique professional look to any project with photo objects 150 000. we've included 150 000 high-resolution royalty-free photos on 2 dvds all pre-masked and ready to add to documents in your favorite applications. an easy-to-use image browser is included for fast keyword searching. then format resize crop and export all in a single application.photo objects 150 000 supports all popular file formats. and because the graphics include clipping paths they're ideal for use on any color background in keynote powerpoint adobe photoshop quark express and more. this spectacular library of unique graphics makes it easy to make a powerful impression in print in presentations and on the web.","nova development",49.99,"nova development rgw-n10 winway resume deluxe 11.0",2,2,0.93702585194575
"234","b000j54pac","photo explosion deluxe 3.0","photo explosion deluxe 3.0 delivers powerful photo editing features spectacular special effects and professional-quality photo projects - all together in one complete suite offering millions of creative combinations. it's packed with exciting new features designed to unlock the power of your digital camera. improve your photos with one-click smartenhance& 153; red-eye removal and a full array of easy-to-use photo editing tools. then create eye-catching photo calendars scrapbooks wide-angle panoramas and more or even morph one photo into another. this deluxe edition lets you burn photo slide shows onto cds that you can watch on tv with family and friends using most dvd players. you can also view your photos on mobile phones handhelds and ipods.","nova development",49.99,"nova development rgw-n10 winway resume deluxe 11.0",2,2,0.93702585194575
"1084","b0000c4dx0","nova greeting card factory (mac)","art explosion greeting card factory offers you millions of new options for creating the most heartfelt greeting cards available. you can even design your own electronic greetings for an instant way to show your feelings","nova development",49.99,"nova development rgw-n10 winway resume deluxe 11.0",2,2,0.93702585194575
"1170","b000exu9ay","print explosion deluxe 3.0 (mac)","with print explosion deluxe 3.0 you'll have the fastest easiest way to create spectacular custom print projects. first time publishers and professional designers alike will enjoy rich graphics layout features and text effects once found only in programs costing ten times as much.take advantage of the latest os x innovations delivering more creative options than ever before. the easy-to-use interface will walk you through the process from concept to finished product in a matter of minutes! all-new user interface browse and import photos from iphoto print out cd & dvd labels with itunes playlists photorealistic new scrapbook graphics","nova development",49.99,"nova development rgw-n10 winway resume deluxe 11.0",2,2,0.93702585194575
"1265","b000067fk7","punch! professional home design suite","12 programs in one intuitive easy-to-use interface... powerful professional tools to help you design all of the critical components of your home including foundations hvac electrical plumbing custom windows custom roofs and much much more!","punch! software",69.99,"punch software 35100 punch! professional home design suite (small box)",2,1,0.863821391991082
"1100","b0009i5sgy","webroot spysweeper antispyware - 3 user","with the desktop firewall/spy sweeper bundle you'll block unwanted intrusions into your pc and defend it from the growing world of online threats. webroot desktop firewall blocks will alert you to incoming traffic puts you in stealth mode for pc safety and monitors inbound & outbound traffic. spy sweeper protects you from spyware and the dangers their invasiveness can lead to.","webroot software",39.99,"webroot software 65210 spy sweeper 3 pc",2,1,0.863821391991082
"1287","b0009hj5ve","webroot desktop firewall","webroot desktop firewall blocks unwanted incoming traffic to your pc alerts you to outgoing data and chooses which programs can access the internet. don't be easy prey for hackers -- block unauthorized incoming or outgoing traffic make your pc invisible online and log denied access attempts for later review. it's your essential online security component for pc safety.","webroot software",29.99,"webroot software 54210 desktop firewall",2,1,0.863821391991082
"1288","b000063v0z","punch! 5 in 1 home design","home renovation software takes a big leap forward with 5 in 1 home design from punch! a package that lets you draw an imagined future home or work on altering the one you have--without investing in building materials or architects up front! divided into a series of specialized applications this program makes it simple to hone room layouts design decks fine-tune furnishing designs and landscape any size or shape of building lot. and when the individual pieces are polished 5 in 1 home design pulls everything together into the big picture of your dreams. unlike many comparable packages this package provides a fast and streamlined process for drawing floor plans from scratch. moving wall by wall rather than room by room a user can lay out everything in detail. whether you are reconstructing an existing house or dreaming big the program's learning process is swift. it is still possible to end up struggling to convince the package that an interior room is indeed inside the house (and thus deserving of carpet rather than lawn) but these glitches are rare and relatively easy to amend. anyone interested in having a basic plan done both painlessly and fast will love the interface this program offers. other tools in 5 in 1 home design allow you to walk through the three-dimensional model of your house print out pieces of a model so you can build it yourself and fit the home inside and out with furnishings and finishes. you can switch to these tools without ever shutting off the core floor plan moving to an overhead view of the house and back then breezing into a furniture-building application. to minimize headaches all the data on each house is kept in a single file. in short punch! 5 in 1 home design will help you put together homes just as you imagine them. the power so handily available in this design program makes it an obvious first choice for those new to home design software and a real boon for anyone looking to brainstorm ideas for constructing decorating or renovating a house. --alyx dellamonica","punch! software",39.99,"punch software 20100 punch! 5 in 1 home design",2,1,0.863821391991082
"1150","b0007ly3zu","burning monkey mahjongg (mac)","burning monkey mahjongg brings you monkey madness as you play one-on-one against the world's most intelligent primates!","freeverse software",24.99,"freeverse software 4024 robin hood: the legend of sheerwood",2,1,0.863821391991082
"489","b0006b64v2","star wars battlefront (mac)","star wars battlefront gives you a chance to play a soldier during the wars in the star wars galaxy. battle for freedom or dominance across 10 unique worlds. use authentic star wars weapons and vehicles -- from x-wings to snow speeders. experience true online chaos as you fight the great battles of the star wars universe! in conquest mode players who capture planets will gain specific advantages over their rivals - adding to the strategic challenge exciting online play for up to 16 players","aspyr media",39.99,"aspyr media 10900 star wars battlefront mac",2,2,0.93702585194575
"714","b000cepgwg","call of duty deluxe (mac) (dvd)","call of duty deluxe delivers the intensity of wwii-era first-person shooter action. join your squadmates for authentic action across fortress europe's most historic battlefields. experience the cinematic intensity of world war ii's epic battles. as you fight you'll dive into the stories that came out of that time -- seeing war through the eyes of ordinary soldiers fighting as a squad for their own glory and honor and for the survival of their buddies. features the original call of duty and the united offensive expansion pack.","aspyr media",39.99,"aspyr media 10900 star wars battlefront mac",2,2,0.93702585194575
"730","b0006a5iwe","doom 3 (dvd) (mac)","the ruins of an ancient martian civilization have unlocked the secrets to teleportation and the uac will stop at nothing to harness this world-altering technology. as part of a marine detachment sent to protect the facility your duty seemed simple enough?until the invasion. now in an epic clash against pure evil you must fight to understand who is with you who is against you and what must be done to stop this nightmare from reaching earth. built on id's revolutionary new 3d graphics engine doom 3 draws you into the most frightening and gripping 3d gaming experience ever created.","aspyr media",39.99,"aspyr media 10900 star wars battlefront mac",2,2,0.93702585194575
"776","b000dz9yoa","quake 4 (mac)","quake 4 takes you back to the front as you fight against an unrelenting alien enemy. armed with advanced weaponry and vehicles and aided by an elite squad of marines you take the battle to the heart of the strogg home planet and become earth's only hope for victory. they're regrouping but with their planetary defenses ruined you have a chance to deliver a full and final assault. you are matthew kane an elite member of rhino squad and part of earth's next invasion wave. with the makron assumed dead your squad is taking part in an operation to take advantage of the disarray and mop up the rest of the enemy forces on the strogg planet. but your drop ship gets hit and comes down hard killing a large chunk of your squadmates at the opening of the game. from there you'll pull yourself up out of the muck and get down to business.","aspyr media",39.99,"aspyr media 10900 star wars battlefront mac",2,2,0.93702585194575
"1244","b000lff13k","prey","prey is a groundbreaking first-person shooter that turns the genre upside-down with new gameplay features and next generation graphics. breaking the traditional first-person shooter format prey introduces innovative gameplay elements including wall-walking portals spirit-walking and gravity flipping which allows for insane eight player deathmatches. prey tells the story of tommy a cherokee garage mechanic stuck on a reservation and going nowhere. his life changes when an otherworldly crisis forces him to awaken spiritual powers from his long-forgotten birthright. abducted along with his people to a menacing mothership orbiting earth he sets out to save himself and his girlfriend and ultimately his planet. multiplayer  multiplayer games take complete advantage of the unique gameplay styles of prey as players walk on the ceilings and walls while the maps gravity flips from side to side note - may require advanced video processing capabilities on your mac computer","aspyr media",39.99,"aspyr media 10900 star wars battlefront mac",2,2,0.93702585194575
"1025","b00002s5ig","punch super home suite 3.0","super home suite combines seven programs for interior and exterior home and landscape design in one package. super home suite includes 3d home design 3d landscaping estimating autoframing floorplan trace 3d furniture design and realmodel. use 3d home exterior & interior design to view your home in thousands of subtle paint color choices or design walk-out basements and split-level designs with the slope tool. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. and create objects from scratch or modify furniture from the included library. change colors fabrics patterns textures and more then use your creations to furnish your home plan. and get an idea of what your finished home will look like with the autoframing and realmodel software.","punch! software",49.99,"punch software 17100 punch! super home suite",2,1,0.863821391991082
"660","b000io79mu","more brain games","more brain games combines entertainment with mental stimulation for people of all ages who want to play brain challenging games. you'll never get tired of the challenge these games can offer -- and solving them can provide a sense of accomplishment and well-being. it's a great time for the casual gamer that's looking for both fun and intellectual benefits from gaming.","csdc",9.99,"csdc jc212 spanish 1-2-3 - on hand software",2,2,0.93702585194575
"815","b0006b6b1a","business plan writer deluxe 8.0 2005","business plan writer deluxe 8 helps you get your ideas down turn them into a definite business plan and commit to enacting it. get ready to face the many business challenges that lie ahead with proven techniques to cast your vision in terms that bankers and prospective investors understand and expect. just answer a series of questions and the software will preapre answers that express your ideas cohesively and concisely.","nova development",99.99,"nova development bsw business plan writer deluxe 8.0",2,1,0.863821391991082
"1086","b000p9eqva","burning monkey solitaire 4.0","burning monkey solitaire brings great solitaire action plus the most monkeys allowed by law! play all your favorite solitaire games like klondike freecell pyramid and 52 pickup -- or try devious new games like osmosis eliminator and four seasons. meanwhile a gang of monkeys are there to help you - mainly by telling jokes & mocking you when you cheat (and sometimes giving you helpful suggestions). the gameplay is fast & fun and the the monkeys will leave you howling. oodles of alternate decks and backgrounds enough jokes to make your head spin download new jokes or share your scores with the world and compete for the top spot multiple easter eggs waiting to be unlocked - you'll wonder why there isn't an easter bunny improved full-screen mode with animated card effects brought to life with a new game engine","freeverse software",24.95,"freeverse software 010 wingnuts 2 - raina's revenge",2,1,0.863821391991082
"1159","b0006aaoiw","burning monkey solitaire 2005 edition","burning monkey solitaire 2005 puts an all-new spin on the classic single-player card game!","freeverse software",24.99,"freeverse software 4024 robin hood: the legend of sheerwood",2,1,0.863821391991082
"1109","b0006vc3vc","3d bridge deluxe (mac)","bridge. you've heard of it. now you can play online using our award winning 3d cardgames engine to see if you really are as good as you say. take your weekly bridge party across the world with anyone and everyone who has a hankering for this popular game.3d bridge deluxe is a great way for beginners to learn the game with its own tutorials that will give you enough of the basics to play online with real people and get rankings on the gamesmith game server. what are you waiting for? be on your way to beating your in-laws!!features:many bidding styles: weak 2 bid weak jump overcalls takeout doubles cuebids for slam bidding blackwood convention gerber convention stayman convention jacoby transfers voice recognition 3d animated interchangeable talking opponents best card game engine inna da world.","freeverse software",24.99,"freeverse software 5003 bumpercar 2.0 mac web browser",2,1,0.863821391991082
"1259","b00006sijr","punch! home design architectura series 18","the big story is flexibility and ease of use. architectural series 18 provides innovative new tools to unleash your design creativity. explore new tools for creating complex objects from simple ones presentation tools for final prints and even special tools for easily changing the design in 3d. novice or pro architectural series 18 is easy to use! a single easy-to-use interface puts powerful tools at your fingertips; you can use as many or a few as you choose and still get professional results. beginners will appreciate the video tooltips tutorials that teach you as you draw and simple drag & drop functions for windows doors furniture texture color and landscaping. professionals will appreciate the more complex features such as extensive framing and estimating mechanical design and cad functions to name a few. architectural series 18 was designed to grow with you as you become more proficient with the program. regardless of your expertise architectural series 18 makes home design an enjoyable experience.","punch! software",129.99,"punch software 42100 punch! home design architectural series 18 (small box)",2,1,0.863821391991082
"1273","b00006sijq","punch! home design architectural series 18","from layout to landscaping home design architectural series 18 from punch! software delivers a complete home-design solution. flexible and easy to use this software integrates 18 programs and adds more than 60 new features and enhancements. explore easy-to-use wall tools robust text and dimension tools additional 2-d geometric creation tools photo-realistic lighting enhanced framing and estimating and much more. help text and video clips explain and demonstrate how each tool is used. plus you can join the punch! developers network download the free developer's kit and get started customizing your own powertools plug-ins.","punch! software",129.99,"punch software 42100 punch! home design architectural series 18 (small box)",2,1,0.863821391991082
"333","b000bcgfe2","spy sweeper [lb]","spy sweeper 4.5 defends your pc and your personal information from the fast-growing threats to privacy you'll encounter online! whenever you download something online you risk infection with spyware. chances are your computer is already infected putting your confidential information and your computer's performance at risk. spy sweeper blocks spyware downloads keeping you one step ahead of the spies and marketers.","webroot software",29.99,"webroot software 54210 desktop firewall",2,1,0.863821391991082
"74","b000099sin","snap! 10 000 drink recipies (jewel case)","trying to find the perfect after dinner drink? not sure what you can mix with the liquor you already have? snap!  10 000 drink recipes is the solution to all your beverage needs. from cocktails to bar drinks you can find practically any recipe with the extensive search option. providing an array of choices this cd-rom is a fantastic resource for any occasion. system requirements:windows 95/98/me or better 8mb ram 6mb hd 2x cd-rom drive vga monitor sound card","topics entertainment",4.99,"instant immersion 33 languages",2,2,0.93702585194575
"665","b000gcd73y","snap! hair styler studio","snap! hair styler studio (win 98 me nt 2000 xp)","topics entertainment",4.99,"instant immersion 33 languages",2,2,0.93702585194575
"1321","b000gcgqvy","snap! kakuro","snap! kakuro (win 98 me xp)","topics entertainment",4.99,"instant immersion 33 languages",2,2,0.93702585194575
"47","b00032heya","national geographic presents: redshift planetarium","national geographic redshift planetarium 5 takes you on an interactive journey trhough the star planets and galaxies! using deep-space technology text and illustrations launch you into the stars and teach you about the worlds beyond our own.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"49","b00032hexq","national geographic presents: forces of nature","with national geographic: forces of nature you'll understand what nature does to the world and how those forces affect the world around us. it's packed with hundreds of high-resolution full-screen videos and photos that educate you on every aspect of the earth's natural forces.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"110","b0008ews9o","instant immersion french 2.0","instant immersion version 2.0 moves you from a beginner to an intermediate speaker with a 5 cd-rom course of study. including talk now! talk more and world talk from eurotalk. finally test your linguistic skills with who is oscar lake a challenging interactive mystery game.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"275","b0008ewsai","instant immersion italian 2.0","instant immersion version 2.0 moves you from a beginner to an intermediate speaker with a 5 cd-rom course of study.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"349","b000egwc42","microsoft office & windows training","coming soon!","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"361","b000hlv6mi","fun for kids: preschool - kindergarten featuring disney","with little steps fun for kids preschool - kindergarten kids will learn while they play! preschoolers and kindergarteners will have a great time as they play with pooh rolie polie and other disney characters.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"447","b00032heyk","topics presents: ancient civilizations (4 cd set)","a dynamic interactive exploration of historical sites and cultures. includes: egypt: voyage to the land of pharaohs exploring ancient cities discovering ancient egypt and ancient civilizations by tom till. bonus includes a free romans map by national geographic.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"559","b0008ewsf8","instant immersion spanish 2.0","instant immersion version 2.0 moves you from a beginner to an intermediate speaker with a 5 cd-rom course of study.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"679","b0007yepx2","instant immersion german v2.0 (pc & mac)","with instant immersion german 2.0 you'll have the next generation of language instruction tools at your fingertips for faster better learning. this 5-cd set offers a full complement of langauge exercises and games along with supplemental activities that strengthen your foundation in this new language. quizzes & tests reinforce learning while a printable dictionary helps you continue learning on the go","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"735","b000p49vis","middle school success essentials","","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"982","b0007yepxc","instant immersion italian v2.0 (large box)","with instant immersion italian 2.0 you'll have the next generation of language instruction tools at your fingertips for faster better learning. this 5-cd set offers a full complement of langauge exercises and games along with supplemental activities that strengthen your foundation in this new language.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"990","b000a40w4a","i spy fantasy v.2 with i spy book & mini cd","","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"1211","b000fkbhlg","kaplan sat/act/psat gold 2007 win/mac","sat act and psat 2007 gold","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
"1354","b0009x6qew","instant immersion italian deluxe v2.0 (large box)","with instant immersion italian deluxe you'll get entertaining instruction on japanese that moves at your own pace. build your speaking skills with the advanced speech recognition tools while the expert lessons make learning to read & write italian easier -- and more enjoyable.","topics entertainment",29.99,"instant immersion italian 2.0",2,1,0.863821391991082
